Sr,Developers,Total Projects,Ongoing Projects
1,S K Infra,,
2,Goyal Properties Pune,,
3,Maheshwaram Associates,,
4,Royal Developer Chinchwad,,
5,K C B Builders,,
6,Sukhwani Chawla Constructions,,
7,White Water,,
8,Tulip Properties,14 Total Projects,7 Ongoing Projects
9,Millennium Developer,10 Total Projects,6 Ongoing Projects
10,Arihant Developers,4 Total Projects, Ongoing Projects
11,Kunal Group,26 Total Projects,6 Ongoing Projects
12,Runal Developers,14 Total Projects,3 Ongoing Projects
13,Tata Value Homes,19 Total Projects,3 Ongoing Projects
14,Pharande Spaces,36 Total Projects,20 Ongoing Projects
15,Marne Group,,
16,Mont Vert Homes,45 Total Projects,5 Ongoing Projects
17,Raja Bahadur International,2 Total Projects,1 Ongoing Projects
18,Parsvnath Developers,63 Total Projects,19 Ongoing Projects
19,Aurum,14 Total Projects,1 Ongoing Projects
20,Nandan Buildcon,36 Total Projects,4 Ongoing Projects
21,Ashiana Housing,79 Total Projects,29 Ongoing Projects
22,Hubtown Limited,69 Total Projects,28 Ongoing Projects
23,Adani Group,15 Total Projects,4 Ongoing Projects
24,K Raheja Corp,40 Total Projects,24 Ongoing Projects
25,ACME Group,36 Total Projects,14 Ongoing Projects
26,Pegasus Properties Pune,18 Total Projects,8 Ongoing Projects
27,Provident Housing,50 Total Projects,31 Ongoing Projects
28,Rahul Construction Pune,,
29,Uday Constructions,6 Total Projects,2 Ongoing Projects
30,Sukhwani Constructions,15 Total Projects,4 Ongoing Projects
31,Mantri Group,40 Total Projects,2 Ongoing Projects
32,Kumar Urban Development,60 Total Projects,15 Ongoing Projects
33,Bhandari Associates,32 Total Projects,8 Ongoing Projects
34,Sree Mangal,21 Total Projects, Ongoing Projects
35,Gini Constructions,12 Total Projects,8 Ongoing Projects
36,Paranjape Schemes,84 Total Projects,26 Ongoing Projects
37,Rahul Construction,22 Total Projects,6 Ongoing Projects
38,Regency Group,45 Total Projects,13 Ongoing Projects
39,Vilas Javdekar Eco Shelters,50 Total Projects,20 Ongoing Projects
40,Ajmera Group,62 Total Projects,14 Ongoing Projects
41,Sobha Limited,191 Total Projects,65 Ongoing Projects
42,Better Group,2 Total Projects, Ongoing Projects
43,Sai Proviso Group,5 Total Projects,2 Ongoing Projects
44,Suyog Development,19 Total Projects,4 Ongoing Projects
45,Golecha Realty Corp,2 Total Projects,1 Ongoing Projects
46,Sundar Builders,1 Total Projects, Ongoing Projects
47,Shapoorji Pallonji Real Estate,87 Total Projects,59 Ongoing Projects
48,United Real Infra,1 Total Projects, Ongoing Projects
49,MP Construction,2 Total Projects, Ongoing Projects
50,Sai Shraddha,3 Total Projects, Ongoing Projects
51,Yashada Realty,24 Total Projects,16 Ongoing Projects
52,DA Borade and Sons,1 Total Projects, Ongoing Projects
53,Giridhar Housing,4 Total Projects, Ongoing Projects
54,Saakaar,1 Total Projects, Ongoing Projects
55,Venkateshwara Realty,6 Total Projects, Ongoing Projects
56,Oricon Developers,2 Total Projects,1 Ongoing Projects
57,Vishal Group,10 Total Projects,3 Ongoing Projects
58,Malpani Group Pune,9 Total Projects,2 Ongoing Projects
59,Ahura Builders,7 Total Projects,6 Ongoing Projects
60,Aum Sanskruti,3 Total Projects,1 Ongoing Projects
61,Voski Group,2 Total Projects, Ongoing Projects
62,Marvel Realtors,79 Total Projects,5 Ongoing Projects
63,Saheel Properties,9 Total Projects,5 Ongoing Projects
